backbone,width_mult,depth,test_segment_acc,test_segment_f1,test_song_acc,test_song_f1
lstm,0.25,1,0.6227,0.6108,0.6800,0.6717
lstm,0.25,2,0.7041,0.7050,0.7733,0.7726
lstm,0.5,1,0.7218,0.7045,0.7533,0.7364
lstm,0.5,2,0.7208,0.7207,0.7933,0.7911
lstm,1.0,1,0.7705,0.7709,0.8067,0.8066
lstm,1.0,2,0.6891,0.6761,0.7400,0.7202
lstm,1.0,3,0.7125,0.7158,0.8000,0.7989
lstm,2.0,1,0.6724,0.6757,0.7333,0.7348
lstm,2.0,2,0.6598,0.6618,0.7200,0.7235
