backbone,width_mult,depth,test_segment_acc,test_segment_f1,test_song_acc,test_song_f1
tf_tiny,0.25,1,0.7135,0.7087,0.7867,0.7803
tf_tiny_deep,0.25,2,0.6298,0.6239,0.6933,0.6849
tf_small,0.5,1,0.7352,0.7309,0.8200,0.8166
tf_small_deep,0.5,2,0.7008,0.6977,0.8067,0.8046
tf_base,1.0,1,0.7145,0.7165,0.7667,0.7642
tf_base_deep,1.0,2,0.7155,0.7109,0.7667,0.7526
tf_base_vdeep,1.0,3,0.7001,0.7051,0.7667,0.7681
tf_large,2.0,1,0.6518,0.6390,0.7333,0.7185
tf_large_deep,2.0,2,0.5974,0.5879,0.6867,0.6773
