model,batch,batch_size,loss_total,loss_classification_ce,loss_denoise_mse,loss_denoised_ce,clean_batch_acc,grad_clip_threshold,raw_grad_total,raw_grad_stem_and_cnn_encoder,raw_grad_temporal_backbone,raw_grad_pool_and_embedding,raw_grad_classifier,raw_grad_denoise_branch,clipped_grad_total,clipped_grad_stem_and_cnn_encoder,clipped_grad_temporal_backbone,clipped_grad_pool_and_embedding,clipped_grad_classifier,clipped_grad_denoise_branch
lstm,1,64,0.7734009027481079,0.5719650983810425,0.49593061208724976,0.7096205949783325,0.9375,3.0,3.2306954436325688,2.85909144375157,1.3403989858863987,0.5089602978383816,0.43336282324769665,0.13955573460297238,2.9999990154032288,2.6549303541230773,1.2446842750715694,0.47261667525135415,0.40241741028822364,0.12959038828975072
lstm,2,64,0.8128559589385986,0.5806711316108704,0.5066437721252441,0.8569375872612,0.921875,3.0,4.364804189576944,3.309228577193503,2.6994627210466415,0.5723268160875791,0.6740435161254366,0.1775674769491319,2.9999992443376104,2.2744853462384462,1.85538362097415,0.39336930065146997,0.4632808204154306,0.12204494882559085
lstm,3,64,0.7178675532341003,0.5029026865959167,0.4856122136116028,0.7834569215774536,0.984375,3.0,2.8959636424152615,2.596301228771108,1.1644702504466422,0.3407399382610333,0.38875618835049836,0.15033064887272718,2.8959636424152615,2.596301228771108,1.1644702504466422,0.3407399382610333,0.38875618835049836,0.15033064887272718
lstm,4,64,0.7068202495574951,0.5039577484130859,0.5116423964500427,0.7073270082473755,0.984375,3.0,1.992765225506435,1.6764886133123602,0.9597797542868939,0.2881250330318789,0.35975902402511634,0.16394940273016165,1.992765225506435,1.6764886133123602,0.9597797542868939,0.2881250330318789,0.35975902402511634,0.16394940273016165
lstm,5,64,0.6796582341194153,0.47865059971809387,0.4685881733894348,0.7238853573799133,1.0,3.0,2.4619800296123304,2.392040418014416,0.4523686253438728,0.1897871120818817,0.27878596579115533,0.14529338926928154,2.4619800296123304,2.392040418014416,0.4523686253438728,0.1897871120818817,0.27878596579115533,0.14529338926928154
lstm,6,64,0.7342049479484558,0.4961020350456238,0.5394044518470764,0.8668716549873352,0.984375,3.0,2.7980410155654822,2.6923784933484454,0.6224895309414524,0.23574183710600793,0.3338579491269222,0.16000941613671274,2.7980410155654822,2.6923784933484454,0.6224895309414524,0.23574183710600793,0.3338579491269222,0.16000941613671274
lstm,7,64,0.6925273537635803,0.49577444791793823,0.4945479929447174,0.6870355606079102,0.96875,3.0,1.8064618449203163,1.4604104318597495,0.9524076429738207,0.2864025636347288,0.3375296315803408,0.16574911348745958,1.8064618449203163,1.4604104318597495,0.9524076429738207,0.2864025636347288,0.3375296315803408,0.16574911348745958
lstm,8,64,0.8046088814735413,0.5528509616851807,0.5413247346878052,0.9339945316314697,0.9375,3.0,3.1577329826168414,2.714693131291532,1.454526679391592,0.45531931850789126,0.5022615397519853,0.16275317275669904,2.9999988609188906,2.579089675084402,1.381870485976246,0.43257533454555813,0.47717267827291493,0.15462337607265222
lstm,9,64,0.8019907474517822,0.5002408623695374,0.6032311320304871,1.14681077003479,0.96875,3.0,2.7505501254880698,2.532329543994115,0.9496344011911227,0.28627197333397936,0.3631365924593949,0.19289310514328922,2.7505501254880698,2.532329543994115,0.9496344011911227,0.28627197333397936,0.3631365924593949,0.19289310514328922
lstm,10,64,0.751900315284729,0.5348163843154907,0.5338611006736755,0.7651030421257019,0.96875,3.0,4.553376364698258,4.143874315147957,1.7526020405852094,0.4500334955507517,0.5087903499365857,0.16890914386177852,2.9999993625920016,2.7301982580139312,1.1547047256418066,0.2965053010481188,0.33521733818194066,0.11128605799097534
lstm,11,64,0.7721604108810425,0.5394892692565918,0.5299535393714905,0.8453837633132935,0.96875,3.0,5.205803999253344,4.960957657327964,1.4291089291651045,0.4976554240696527,0.41558667031023633,0.1629995944050608,2.999999648949344,2.8588996659075816,0.8235665530291092,0.28678875604481807,0.23949417268796674,0.09393336657565322
lstm,12,64,0.7351514101028442,0.5226925611495972,0.48765331506729126,0.7697020769119263,0.984375,3.0,1.6189097553531684,1.2529232434165563,0.8873839378699726,0.2911105857010786,0.3866350771963352,0.17137629027591103,1.6189097553531684,1.2529232434165563,0.8873839378699726,0.2911105857010786,0.3866350771963352,0.17137629027591103
lstm,13,64,0.7506812810897827,0.5314026474952698,0.5301874876022339,0.7782807946205139,0.953125,3.0,3.141245079107428,2.8119864476438807,1.2537660419865706,0.4089601423612547,0.44000848031371553,0.1654319088235051,2.999999316839588,2.68554578222883,1.1973905400116585,0.39057129265710355,0.4202235554577171,0.1579932785664025
lstm,14,64,0.67064368724823,0.4805712401866913,0.48398128151893616,0.6599735021591187,0.984375,3.0,1.0500566962320528,0.8370704167185372,0.5267880646788033,0.18749737662826385,0.266750309349825,0.13459392217957086,1.0500566962320528,0.8370704167185372,0.5267880646788033,0.18749737662826385,0.266750309349825,0.13459392217957086
lstm,15,64,0.7812349200248718,0.5532276034355164,0.49994319677352905,0.8400704860687256,0.953125,3.0,3.4102841312611054,2.523960374224752,2.152462728912256,0.514132337082259,0.574565382837646,0.17918885771479295,2.9999991002582522,2.2203073257345434,1.8935038901901728,0.45227803117299037,0.5054404578954325,0.15763097638237542
lstm,16,64,0.7085211277008057,0.5085554122924805,0.46776527166366577,0.7191692590713501,0.984375,3.0,2.096081138118157,1.9834082779022792,0.5215451965172458,0.2158149157760324,0.34571001573471305,0.14678847319356486,2.096081138118157,1.9834082779022792,0.5215451965172458,0.2158149157760324,0.34571001573471305,0.14678847319356486
lstm,17,64,0.7729871273040771,0.5033673048019409,0.563259482383728,1.010143518447876,0.984375,3.0,2.248395698999439,2.0043370166929484,0.8890251466566728,0.3000199120264796,0.34880642670332024,0.18940105724032813,2.248395698999439,2.0043370166929484,0.8890251466566728,0.3000199120264796,0.34880642670332024,0.18940105724032813
lstm,18,64,0.8047044277191162,0.5434267520904541,0.5881401300430298,0.9535044431686401,0.953125,3.0,3.8021174065548102,3.3631004173054038,1.6432902179640956,0.43668623180393457,0.4694286529994196,0.1849094118395312,2.999999216964306,2.653599958414986,1.2966115739517647,0.3445601968393856,0.37039507917554065,0.14589977675551205
lstm,19,64,0.7722315788269043,0.5325769186019897,0.5165958404541016,0.8883155584335327,0.953125,3.0,2.832933804668268,2.6293582408768015,0.8558416890475573,0.35629155464216605,0.4571133039490832,0.2088730272130095,2.832933804668268,2.6293582408768015,0.8558416890475573,0.35629155464216605,0.4571133039490832,0.2088730272130095
lstm,20,64,0.8397338390350342,0.6036405563354492,0.5353972911834717,0.8592279553413391,0.9375,3.0,2.3652671534788365,1.9291477739179939,1.15646014332369,0.47532839532460786,0.5211764867589951,0.19471902029478347,2.3652671534788365,1.9291477739179939,1.15646014332369,0.47532839532460786,0.5211764867589951,0.19471902029478347
lstm,21,64,0.6878184080123901,0.48498615622520447,0.46541982889175415,0.7349094152450562,0.984375,3.0,1.4917981162765688,1.2433900868795504,0.7037085007016335,0.256739452048611,0.3127451721492894,0.14322139740741077,1.4917981162765688,1.2433900868795504,0.7037085007016335,0.256739452048611,0.3127451721492894,0.14322139740741077
