model,repeat,t_value,noise_ratio_1_minus_t,clean_segment_acc,clean_song_acc,noisy_segment_acc,denoised_segment_acc,noisy_song_acc,denoised_song_acc,noisy_segment_macro_f1,denoised_segment_macro_f1,noisy_song_macro_f1,denoised_song_macro_f1,noisy_mse_to_clean,denoised_mse_to_clean,noisy_cosine_to_clean,denoised_cosine_to_clean
lstm,0,1.0,0.0,0.7620954287620955,0.8333333333333334,0.7620954287620955,0.7654320987654321,0.8333333333333334,0.84,0.7713568715589981,0.7738421060272054,0.8398191970007876,0.8439079209115361,0.0,0.6154974699020386,1.0,0.8569588661193848
lstm,1,1.0,0.0,0.7620954287620955,0.8333333333333334,0.7620954287620955,0.7654320987654321,0.8333333333333334,0.84,0.7713568715589981,0.7738421060272054,0.8398191970007876,0.8439079209115361,0.0,0.6154974699020386,1.0,0.8569588661193848
lstm,2,1.0,0.0,0.7620954287620955,0.8333333333333334,0.7620954287620955,0.7654320987654321,0.8333333333333334,0.84,0.7713568715589981,0.7738421060272054,0.8398191970007876,0.8439079209115361,0.0,0.6154974699020386,1.0,0.8569588661193848
lstm,0,0.95,0.050000000000000044,0.7620954287620955,0.8333333333333334,0.7620954287620955,0.7647647647647647,0.8333333333333334,0.8466666666666667,0.7711961172540416,0.7731283110115148,0.8398191970007876,0.8511278455508154,0.0050225588493049145,0.5268688201904297,0.998630940914154,0.8579676747322083
lstm,1,0.95,0.050000000000000044,0.7620954287620955,0.8333333333333334,0.7617617617617618,0.7654320987654321,0.8333333333333334,0.8466666666666667,0.7712144281748672,0.7737098285759607,0.8398191970007876,0.8511278455508154,0.005007690750062466,0.5272496342658997,0.9986355304718018,0.8579232096672058
lstm,2,0.95,0.050000000000000044,0.7620954287620955,0.8333333333333334,0.7617617617617618,0.7660994327660995,0.8333333333333334,0.8466666666666667,0.7708726543728789,0.7743480211016682,0.8398191970007876,0.8511278455508154,0.005014421883970499,0.5269718170166016,0.99863600730896,0.8579611778259277
lstm,0,0.85,0.15000000000000002,0.7620954287620955,0.8333333333333334,0.7587587587587588,0.7597597597597597,0.8333333333333334,0.84,0.7681060912654557,0.7697400076211548,0.8392659390281748,0.8470627539217638,0.04519318416714668,0.315550297498703,0.9849368929862976,0.8588942885398865
lstm,1,0.85,0.15000000000000002,0.7620954287620955,0.8333333333333334,0.7614280947614281,0.7624290957624291,0.8266666666666667,0.84,0.7702875633194425,0.7721747824535738,0.833514024292594,0.8470627539217638,0.04492064192891121,0.3160775899887085,0.985032856464386,0.8589541912078857
lstm,2,0.85,0.15000000000000002,0.7620954287620955,0.8333333333333334,0.7617617617617618,0.7597597597597597,0.8266666666666667,0.84,0.771308939325897,0.7695441367051021,0.833514024292594,0.8470627539217638,0.044997598975896835,0.3154674768447876,0.9850301146507263,0.8589789271354675
lstm,0,0.7,0.30000000000000004,0.7620954287620955,0.8333333333333334,0.7610944277610945,0.7587587587587588,0.8333333333333334,0.82,0.770276262341041,0.7696172953997215,0.8392659390281748,0.8305452083038289,0.18057066202163696,0.25838565826416016,0.9198343753814697,0.8591189384460449
lstm,1,0.7,0.30000000000000004,0.7620954287620955,0.8333333333333334,0.7594260927594261,0.7557557557557557,0.84,0.8133333333333334,0.769069509401566,0.7672118374590106,0.8473622154044115,0.8246453403307902,0.1798170655965805,0.25824490189552307,0.9202239513397217,0.8590124845504761
lstm,2,0.7,0.30000000000000004,0.7620954287620955,0.8333333333333334,0.7590924257590924,0.7564230897564231,0.84,0.8133333333333334,0.7686093982561735,0.7677178946496269,0.8446577840751923,0.8246453403307902,0.18080395460128784,0.2583252191543579,0.9198021292686462,0.8591053485870361
lstm,0,0.55,0.44999999999999996,0.7620954287620955,0.8333333333333334,0.7557557557557557,0.7607607607607607,0.8266666666666667,0.8266666666666667,0.7646998559560338,0.7692060304748833,0.835492854743411,0.8324642605023584,0.4054252803325653,0.2618604004383087,0.7757275700569153,0.8562247157096863
lstm,1,0.55,0.44999999999999996,0.7620954287620955,0.8333333333333334,0.7580914247580914,0.7620954287620955,0.8266666666666667,0.8333333333333334,0.7671775223255648,0.7706257918082435,0.8340672822652069,0.8387122279627842,0.4056313931941986,0.26240354776382446,0.7756192088127136,0.8558286428451538
lstm,2,0.55,0.44999999999999996,0.7620954287620955,0.8333333333333334,0.7567567567567568,0.7594260927594261,0.8266666666666667,0.8333333333333334,0.7661736305957698,0.7682707609560995,0.8357847722767078,0.8398648091153651,0.40706127882003784,0.2616675794124603,0.7746617197990417,0.8565645813941956
lstm,0,0.4,0.6,0.7620954287620955,0.8333333333333334,0.7397397397397397,0.7557557557557557,0.8266666666666667,0.8533333333333334,0.7498062258726022,0.7637131901578971,0.8373579012858767,0.8592891182170938,0.7217314839363098,0.29955607652664185,0.5561138391494751,0.8338208198547363
lstm,1,0.4,0.6,0.7620954287620955,0.8333333333333334,0.7384050717384051,0.7494160827494161,0.82,0.8466666666666667,0.747078912769944,0.7566207251107244,0.8257483327519479,0.8502508050794546,0.7216135263442993,0.30024224519729614,0.5564447045326233,0.8333318829536438
lstm,2,0.4,0.6,0.7620954287620955,0.8333333333333334,0.7377377377377378,0.7510844177510844,0.84,0.8333333333333334,0.7473189261785206,0.7597640988508384,0.8471819252686883,0.8398191970007876,0.7246715426445007,0.30182626843452454,0.5542292594909668,0.8322578072547913
lstm,0,0.25,0.75,0.7620954287620955,0.8333333333333334,0.6009342676009343,0.6886886886886887,0.8,0.8466666666666667,0.6133850598551379,0.6963392934635786,0.8141562166256271,0.8531583569139185,1.1269607543945312,0.4951276183128357,0.31867513060569763,0.7055835127830505
lstm,1,0.25,0.75,0.7620954287620955,0.8333333333333334,0.5815815815815816,0.6770103436770103,0.8066666666666666,0.8333333333333334,0.5936724558600394,0.6845408773526062,0.8193923206423206,0.8394133538371287,1.130474328994751,0.502973198890686,0.3165113627910614,0.6988115310668945
lstm,2,0.25,0.75,0.7620954287620955,0.8333333333333334,0.6009342676009343,0.6846846846846847,0.7933333333333333,0.8133333333333334,0.6121530386277806,0.6924688712352539,0.8065582207517691,0.8195836491095111,1.1307412385940552,0.49684634804725647,0.3150784969329834,0.7026445269584656
lstm,0,0.1,0.9,0.7620954287620955,0.8333333333333334,0.2455789122455789,0.29362696029362695,0.6466666666666666,0.64,0.24810937223512974,0.28687616935849547,0.6723264530225481,0.6384176147220508,1.62540602684021,0.9670738577842712,0.11145520210266113,0.2286817729473114
lstm,1,0.1,0.9,0.7620954287620955,0.8333333333333334,0.2459125792459126,0.29195862529195865,0.6666666666666666,0.6133333333333333,0.2472208292254307,0.2871000475117466,0.6871573471927533,0.6040462753807081,1.628612995147705,0.9706571102142334,0.10752559453248978,0.22244054079055786
lstm,2,0.1,0.9,0.7620954287620955,0.8333333333333334,0.22822822822822822,0.2829496162829496,0.6133333333333333,0.62,0.23109818262035522,0.27421819620059573,0.6398507095425894,0.6245024080778556,1.6235551834106445,0.9703178405761719,0.10951501876115799,0.22202928364276886
