backbone,width_mult,depth,param_count,seed,test_segment_acc,test_segment_f1,test_song_acc,test_song_f1
basic_cnn,0.75,1,530195,2025,0.685,0.6865,0.7842,0.7952
resnet,1.0,3,2479499,2025,0.6976,0.6802,0.7626,0.7427
