epoch,lr,train_loss,train_ce,train_mse,train_denoised_ce,train_acc,val_segment_acc,val_segment_macro_f1,val_song_acc,val_song_macro_f1,temperature,seconds
1,0.0007994518139018296,1.8327957533054968,1.378373144733625,0.9104569556036666,1.725838846586878,0.592292815700881,0.6275033377837116,0.624885863656458,0.6533333333333333,0.6533682869964729,1.0,192.36
2,0.0007978087581473094,1.4117992443526408,1.0396695807827006,0.7396938345440991,1.4168319746208313,0.7440011460497099,0.6852469959946595,0.6666128857907955,0.7333333333333333,0.7096028288987442,1.1,16.45
3,0.0007950753362380552,1.2511568066042513,0.9167280003314253,0.6628912514989949,1.2744092665141467,0.7970059451328702,0.6194926568758344,0.6124331583349795,0.66,0.6491183534529943,1.2000000000000002,16.52
4,0.0007912590402935224,1.131534223232559,0.8197707156082696,0.63002807251593,1.180800666304272,0.8404125778955662,0.6712283044058746,0.6498105313345912,0.7333333333333333,0.7058407733739244,1.2000000000000002,16.39
5,0.0007863703305156274,1.0302843585430008,0.7391699879057265,0.6125302904016454,1.0880536852401406,0.8782322183224698,0.7276368491321762,0.7322982945026941,0.7866666666666666,0.7957633423825328,1.1,16.49
6,0.0007804226065180616,0.988307148805193,0.7048785398054427,0.6003300236149407,1.0569450129633364,0.8904806245970919,0.7463284379172229,0.7367505395313575,0.8333333333333334,0.8278570957881304,1.15,16.71
7,0.0007734321705988808,0.9284637949543725,0.6587352668749774,0.5827446477639112,0.9989958465479308,0.9144760403982523,0.6418558077436582,0.623333345429604,0.6733333333333333,0.6572539453136983,1.3,16.45
8,0.0007654181830570405,0.8727623370526966,0.6179803444068468,0.563323803695906,0.9359156525960736,0.9316667860468448,0.6909212283044058,0.6748850515738064,0.7133333333333334,0.7005281026604556,1.25,16.27
9,0.0007564026096753473,0.8548936969263404,0.6020857357942958,0.560135940792533,0.9279582160616081,0.9357495881383855,0.554739652870494,0.5480669554534799,0.64,0.6214757259920839,1.55,16.64
10,0.0007464101615137757,0.8091467824981954,0.569388671707231,0.5439874357185326,0.8723980754060994,0.9505049781534274,0.6752336448598131,0.6518558853792666,0.7133333333333334,0.691054350281424,1.3,16.42
11,0.0007354682271781698,0.7950284349722828,0.5592232168203233,0.537754564540245,0.8563733173470367,0.951865912183941,0.7473297730307076,0.7447587297430205,0.7866666666666666,0.7800454809444586,1.2000000000000002,16.51
12,0.0007236067977499792,0.7825729058829037,0.549360968972523,0.5298504888452096,0.8481493662322594,0.960318028794499,0.7870493991989319,0.7854531316103439,0.86,0.8600685285237566,1.1,16.29
13,0.0007108583845827886,0.7662550875778723,0.5387726431418589,0.516038774077833,0.8277889279348872,0.9625385001074421,0.7616822429906542,0.753718343793725,0.8,0.7978116652629397,1.15,16.43
14,0.0006972579301909579,0.7397643274004365,0.5183189211034491,0.510384392976573,0.8009963781228594,0.9717068977866915,0.7720293724966623,0.7659836862683594,0.8133333333333334,0.80393867953747,1.15,16.21
15,0.0006828427124746193,0.7287480194540797,0.5122370566767442,0.4996467729445114,0.7827667308377977,0.973569228565289,0.6842456608811749,0.6653755105124852,0.7266666666666667,0.7115026310840352,1.35,16.4
