model,mode,epoch,lr,train_loss,train_acc,val_segment_acc,val_segment_macro_f1,val_song_acc,val_song_macro_f1,temperature,seconds
cnn,full_dn,1,0.0007994518139018296,1.830784222892,0.5922211875940119,0.6712283044058746,0.6673491429553161,0.7,0.6900644635547916,0.95,38.55
cnn,full_dn,2,0.0007978087581473094,1.4083417544229333,0.745075567652747,0.6535380507343124,0.6433518697142124,0.7133333333333334,0.7003090976783878,1.1,28.83
cnn,full_dn,3,0.0007950753362380552,1.240990268134702,0.8021631688274479,0.6308411214953271,0.5932389730376361,0.68,0.6336618779359064,1.2000000000000002,42.49
cnn,full_dn,4,0.0007912590402935224,1.127671941313256,0.8434209583840699,0.681909212283044,0.6743116134131132,0.7533333333333333,0.7487842997404652,1.2000000000000002,45.21
cnn,full_dn,5,0.0007863703305156274,1.0388576346732734,0.8754387221545734,0.6862483311081442,0.6853789720652005,0.7466666666666667,0.7421705014368258,1.2000000000000002,44.91
cnn,full_dn,6,0.0007804226065180616,0.9861103260844154,0.8932741207649881,0.6789052069425902,0.6808641431549878,0.74,0.7371664346717518,1.2000000000000002,44.89
cnn,full_dn,7,0.0007734321705988808,0.9297440416294938,0.9134016187952152,0.7026034712950601,0.7056515430599964,0.7666666666666667,0.7698060901780066,1.2000000000000002,44.7
cnn,full_dn,8,0.0007654181830570405,0.8770156266328795,0.9285151493446028,0.6972630173564753,0.6819993008193391,0.7533333333333333,0.7390120546007971,1.15,44.78
cnn,full_dn,9,0.0007564026096753473,0.8482940264190817,0.9383998280925435,0.5884512683578104,0.5671130710502996,0.6133333333333333,0.5841919191919193,1.5,45.21
cnn,full_dn,10,0.0007464101615137757,0.8042067018503719,0.9514361435427262,0.7263017356475301,0.709554519334678,0.8,0.786309896999552,1.2000000000000002,45.03
cnn,full_dn,11,0.0007354682271781698,0.7902897309286958,0.9551608050999212,0.7690253671562083,0.7640004735391004,0.8333333333333334,0.8339930633439762,1.15,46.02
cnn,full_dn,12,0.0007236067977499792,0.7794136467622776,0.9587422104433779,0.7299732977303071,0.7203883096704533,0.7733333333333333,0.7698902139670392,1.25,46.23
cnn,full_dn,13,0.0007108583845827886,0.7602810172568112,0.9632547811761335,0.784712950600801,0.7845287788772471,0.84,0.8431012624096443,1.15,45.89
cnn,full_dn,14,0.0006972579301909579,0.7427956936275897,0.9689850297256644,0.7313084112149533,0.7287264641440975,0.7933333333333333,0.7940612585412363,1.3,44.86
cnn,full_dn,15,0.0006828427124746193,0.7316005622859876,0.9717068977866915,0.7416555407209613,0.729335808633943,0.8,0.7944616479472355,1.25,44.55
cnn,full_dn,16,0.0006676522425435434,0.7102820597630108,0.9800873862903804,0.790720961281709,0.7830580095114329,0.8333333333333334,0.8256869654735507,1.2000000000000002,44.78
cnn,full_dn,17,0.0006517281564199351,0.7079568918263124,0.9786548241529976,0.7483311081441922,0.7402267907588362,0.7866666666666666,0.7724634047167255,1.3,44.56
cnn,full_dn,18,0.0006351141009169894,0.7027316498308979,0.9792278490079507,0.763351134846462,0.7600679579276652,0.8,0.789131089217296,1.2000000000000002,44.46
cnn,full_dn,19,0.000617855614006011,0.7004960424091778,0.9792278490079507,0.725634178905207,0.7258899692842428,0.78,0.7758648787566883,1.25,44.55
cnn,full_dn,20,0.0006000000000000002,0.6902369518487008,0.982522741923931,0.8117489986648865,0.8132889380230507,0.8866666666666667,0.8891714961846807,1.1,44.39
cnn,full_dn,21,0.0005815961998958188,0.690697048631919,0.9829525105651458,0.7540053404539386,0.7533128875195969,0.82,0.8187425443877057,1.2000000000000002,44.95
cnn,full_dn,22,0.0005626946572303203,0.6829633705510629,0.9836687916338371,0.8354472630173565,0.8374103047735504,0.9133333333333333,0.9140969463424969,1.1,44.74
cnn,full_dn,23,0.0005433471798181204,0.6714258459439021,0.9879664780459853,0.7550066755674232,0.748796488709014,0.8066666666666666,0.8017771855589461,1.15,44.75
