model,param_tag,full_test_segment_acc,no_dn_test_segment_acc,delta_test_segment_acc,full_test_segment_macro_f1,no_dn_test_segment_macro_f1,delta_test_segment_macro_f1,full_test_song_acc,no_dn_test_song_acc,delta_test_song_acc,full_test_song_macro_f1,no_dn_test_song_macro_f1,delta_test_song_macro_f1
cnn,cnn_w0p75_d1,0.7527527527527528,0.7724391057724391,-0.019686353019686353,0.7514892535469754,0.7779087554072249,-0.02641950186024955,0.8333333333333334,0.8533333333333334,-0.020000000000000018,0.834677650714236,0.8563375112126176,-0.021659860498381533
resnet,resnet_w1p0_d3,0.8114781448114782,0.7774441107774441,0.034034034034034044,0.8122949868995646,0.7750016052938704,0.037293381605694176,0.8933333333333333,0.84,0.053333333333333344,0.8926757294429708,0.8391714223714691,0.05350430707150167
lstm,lstm_hidden64_layers1_dropout0,0.7400734067400734,0.7290623957290624,0.011011011011010985,0.7358843007900033,0.7332230550472068,0.0026612457427965808,0.82,0.8,0.019999999999999907,0.8190313127732484,0.8003577605190507,0.018673552254197645
rnn,rnn_h80_l1,0.730397063730397,0.7754421087754421,-0.04504504504504503,0.7339195994647435,0.7783399452249998,-0.04442034576025633,0.78,0.86,-0.07999999999999996,0.7833959053516731,0.8602199644997197,-0.07682405914804658
mlp,mlp_d5_h192,0.7854521187854521,0.7701034367701034,0.01534868201534867,0.7917716409062583,0.7764197584132686,0.015351882492989688,0.8466666666666667,0.86,-0.013333333333333308,0.8499391565979442,0.8634833530495378,-0.01354419645159366
transformer,tf_small_w0p5_d1,0.6776776776776777,0.7514180847514181,-0.07374040707374041,0.6634284335382145,0.7490233973286105,-0.085594963790396,0.7466666666666667,0.8066666666666666,-0.05999999999999994,0.7265420643029751,0.8054688322430257,-0.0789267679400506
