embedding,num_samples,dim,classifier_acc_on_selected,silhouette_score,mean_intra_class_distance,mean_inter_class_centroid_distance,inter_over_intra,mse_to_full_clean_z,cosine_to_full_clean_z
full_clean_z,1000,128,0.758,0.23533575236797333,7.116209650039673,12.080051178402371,1.6975400912106382,0.0,1.0
full_noisy_z_t,1000,128,0.75,0.10081567615270615,6.523387050628662,6.699939176771376,1.027064487324219,0.4076102375984192,0.7774053812026978
full_denoised_z_hat,1000,128,0.754,0.2864561080932617,5.1551042079925535,11.017348808712429,2.13717286095419,0.24201245605945587,0.8716238141059875
