model,batch,batch_size,loss_total,loss_classification_ce,loss_denoise_mse,loss_denoised_ce,clean_batch_acc,grad_clip_threshold,raw_grad_total,raw_grad_stem_and_cnn_encoder,raw_grad_temporal_backbone,raw_grad_pool_and_embedding,raw_grad_classifier,raw_grad_denoise_branch,clipped_grad_total,clipped_grad_stem_and_cnn_encoder,clipped_grad_temporal_backbone,clipped_grad_pool_and_embedding,clipped_grad_classifier,clipped_grad_denoise_branch
cnn,1,64,0.7048161625862122,0.5140416622161865,0.49180546402931213,0.6587892770767212,0.953125,3.0,1.511893664338313,1.153390520307754,0.814454023970158,0.3169337468827996,0.4221616786227219,0.11623218125214782,1.511893664338313,1.153390520307754,0.814454023970158,0.3169337468827996,0.4221616786227219,0.11623218125214782
cnn,2,64,0.6950780749320984,0.48423293232917786,0.48431241512298584,0.7636382579803467,1.0,3.0,0.797724492049443,0.5366192554390125,0.37797878928351,0.19922649316745436,0.376256272889222,0.15580820354237837,0.797724492049443,0.5366192554390125,0.37797878928351,0.19922649316745436,0.376256272889222,0.15580820354237837
cnn,3,64,0.7713528871536255,0.5128949284553528,0.5522853136062622,0.9609185457229614,0.96875,3.0,1.2971701490499983,0.8642302120190456,0.7359456432692637,0.3188784917284091,0.4938193145699586,0.22045303001676125,1.2971701490499983,0.8642302120190456,0.7359456432692637,0.3188784917284091,0.4938193145699586,0.22045303001676125
cnn,4,64,0.7613717317581177,0.5238072276115417,0.5196467638015747,0.8760346174240112,0.96875,3.0,1.0653663065037962,0.6974125369999437,0.5888870682975424,0.30716920595606373,0.41357679811769227,0.1908781077855897,1.0653663065037962,0.6974125369999437,0.5888870682975424,0.30716920595606373,0.41357679811769227,0.1908781077855897
cnn,5,64,0.6949402689933777,0.4724585711956024,0.5442206859588623,0.7858762741088867,0.984375,3.0,0.9255368363531015,0.650554254717474,0.5234314490487207,0.23518805014501837,0.27618585353276176,0.16680848491494868,0.9255368363531015,0.650554254717474,0.5234314490487207,0.23518805014501837,0.27618585353276176,0.16680848491494868
cnn,6,64,0.75261390209198,0.5395342111587524,0.5176534652709961,0.7548065185546875,0.984375,3.0,1.2397442735914375,0.9717606352725051,0.5875520112161968,0.31330773245072263,0.35099081397724274,0.16147284305269174,1.2397442735914375,0.9717606352725051,0.5875520112161968,0.31330773245072263,0.35099081397724274,0.16147284305269174
cnn,7,64,0.8327361941337585,0.5819574594497681,0.5228742361068726,0.940169095993042,0.953125,3.0,1.8786389951585805,1.4740590404031628,0.899237718180896,0.4428065416956734,0.5594649370556107,0.19679252164104677,1.8786389951585805,1.4740590404031628,0.899237718180896,0.4428065416956734,0.5594649370556107,0.19679252164104677
cnn,8,64,0.724653422832489,0.5062985420227051,0.5431481599807739,0.7658854126930237,0.953125,3.0,0.7160920254833183,0.47215822326972795,0.3389309933786481,0.21973128661693353,0.3191036954044565,0.1577059800636127,0.7160920254833183,0.47215822326972795,0.3389309933786481,0.21973128661693353,0.3191036954044565,0.1577059800636127
cnn,9,64,0.6717134118080139,0.47618454694747925,0.4964883327484131,0.6797513961791992,0.984375,3.0,1.1662840654132092,0.9056652586282615,0.6284562580171728,0.22468875407340183,0.2812513447394893,0.12427524767543341,1.1662840654132092,0.9056652586282615,0.6284562580171728,0.22468875407340183,0.2812513447394893,0.12427524767543341
cnn,10,64,0.6981504559516907,0.49450719356536865,0.5305027961730957,0.6999145746231079,0.984375,3.0,1.486030405176593,1.2108461177181598,0.6754002789337089,0.33408717863602677,0.385993506768869,0.1592710812913901,1.486030405176593,1.2108461177181598,0.6754002789337089,0.33408717863602677,0.385993506768869,0.1592710812913901
cnn,11,64,0.7041560411453247,0.47124597430229187,0.5527158379554749,0.8329209089279175,1.0,3.0,0.8018042027632514,0.5899351623518874,0.41067267264150376,0.17422951202472964,0.26254861911705896,0.1640936911477693,0.8018042027632514,0.5899351623518874,0.41067267264150376,0.17422951202472964,0.26254861911705896,0.1640936911477693
cnn,12,64,0.7706839442253113,0.5138869881629944,0.5308214426040649,0.965491771697998,0.984375,3.0,1.328427003255896,1.0174974233982834,0.6408018105371062,0.33662204524551625,0.4070347325157359,0.19949601788063334,1.328427003255896,1.0174974233982834,0.6408018105371062,0.33662204524551625,0.4070347325157359,0.19949601788063334
cnn,13,64,0.7120407223701477,0.508493959903717,0.4874482750892639,0.7252647280693054,0.96875,3.0,0.8733571626905478,0.5470300977623023,0.5119339724711105,0.2490545540913823,0.34580700116949176,0.1407968771795173,0.8733571626905478,0.5470300977623023,0.5119339724711105,0.2490545540913823,0.34580700116949176,0.1407968771795173
