model,t_value,noise_ratio_1_minus_t,repeats,clean_segment_acc_mean,clean_segment_acc_std,clean_song_acc_mean,clean_song_acc_std,noisy_segment_acc_mean,noisy_segment_acc_std,denoised_segment_acc_mean,denoised_segment_acc_std,noisy_song_acc_mean,noisy_song_acc_std,denoised_song_acc_mean,denoised_song_acc_std,noisy_segment_macro_f1_mean,noisy_segment_macro_f1_std,denoised_segment_macro_f1_mean,denoised_segment_macro_f1_std,noisy_song_macro_f1_mean,noisy_song_macro_f1_std,denoised_song_macro_f1_mean,denoised_song_macro_f1_std,noisy_mse_to_clean_mean,noisy_mse_to_clean_std,denoised_mse_to_clean_mean,denoised_mse_to_clean_std,noisy_cosine_to_clean_mean,noisy_cosine_to_clean_std,denoised_cosine_to_clean_mean,denoised_cosine_to_clean_std
cnn,1.0,0.0,3,0.7497497497497497,0.0,0.8000000000000002,1.1102230246251565e-16,0.7497497497497497,0.0,0.736403069736403,0.0,0.8000000000000002,1.1102230246251565e-16,0.7866666666666666,0.0,0.7466858574012439,1.1102230246251565e-16,0.7327276622827835,1.1102230246251565e-16,0.7967254820784886,0.0,0.7830522737911177,1.1102230246251565e-16,0.0,0.0,0.6438510417938232,0.0,1.0,0.0,0.864500105381012,0.0
cnn,0.95,0.050000000000000044,3,0.7497497497497497,0.0,0.8000000000000002,1.1102230246251565e-16,0.7487487487487487,0.0008173138948225302,0.7349571794016239,0.00015729213239606976,0.8000000000000002,1.1102230246251565e-16,0.7799999999999999,1.1102230246251565e-16,0.7456703410716924,0.0008228228501563425,0.7315517415676148,0.0002837178343093359,0.7967254820784886,0.0,0.7776396079819327,0.0,0.005042561795562506,5.487763617516715e-06,0.5900371273358663,9.977290946553257e-05,0.9986481467882792,2.200444045696407e-06,0.8657182057698568,1.6481543537333357e-05
cnn,0.85,0.15000000000000002,3,0.7497497497497497,0.0,0.8000000000000002,1.1102230246251565e-16,0.7479701924146368,0.0008323117310140935,0.7388499610721833,0.0011010449267724884,0.8000000000000002,1.1102230246251565e-16,0.7866666666666666,0.0,0.7449488279059354,0.00091615106668547,0.7358283671638294,0.0014032760420600657,0.7967254820784886,0.0,0.7847171138094385,0.0,0.045318459471066795,0.00010099489239434607,0.3545538584391276,0.00033085118261159854,0.985144297281901,3.882650810443428e-05,0.8659203847249349,4.164632828564898e-05
cnn,0.7,0.30000000000000004,3,0.7497497497497497,0.0,0.8000000000000002,1.1102230246251565e-16,0.7476365254143031,0.000629168529584279,0.7370704037370704,0.0017864952067855725,0.7933333333333333,0.0,0.7799999999999999,0.00942809041582059,0.7448697926750496,0.000456169290350507,0.734178218143164,0.0018890730572379288,0.789108591888069,0.0004123939260167315,0.7768886664855715,0.010401393973122402,0.18125131726264954,0.00034121876500694035,0.2597841719786326,0.00010198624213800127,0.9206703106562296,0.0001860974314783711,0.8652386864026388,6.227846547984773e-05
cnn,0.55,0.44999999999999996,3,0.7497497497497497,0.0,0.8000000000000002,1.1102230246251565e-16,0.7437437437437437,0.001362189824704217,0.7355132910688468,0.0024720399033358728,0.8000000000000002,0.0054433105395181635,0.7822222222222223,0.0062853936105470775,0.7409853058006016,0.001127112809837182,0.7325279772726843,0.002710060983389892,0.7966796732410758,0.006552092050365692,0.7793391792689706,0.006620076879595999,0.4080483913421631,0.0006009046822874764,0.26288267970085144,0.00029926711707590646,0.7768160303433737,0.000391567880846185,0.8620373209317526,0.00018691463079428504
cnn,0.4,0.6,3,0.7497497497497497,0.0,0.8000000000000002,1.1102230246251565e-16,0.7309531753976198,0.003013283769134457,0.7286175063952842,0.0019135413784990827,0.7955555555555556,0.008314794192830986,0.7866666666666666,0.0054433105395181635,0.7282789045138053,0.0022900445602880453,0.7255070300246365,0.0014338033995844838,0.7929854782226698,0.008179155074119282,0.7827174396484741,0.004878034108840202,0.7262411713600159,0.00042823891362984875,0.3021695017814636,0.0004393181972258704,0.5573657949765524,0.000333820722729678,0.8410750230153402,5.5069581132295427e-05
cnn,0.25,0.75,3,0.7497497497497497,0.0,0.8000000000000002,1.1102230246251565e-16,0.608274941608275,0.007956867811153349,0.660104548993438,0.0012874915919018981,0.7800000000000001,0.014401645996461918,0.7644444444444445,0.013698697784375501,0.6080180212354892,0.007518216640028683,0.6572400241621815,0.0019394873961797667,0.7762539333910627,0.013142712460101848,0.761748544522978,0.011796455256622713,1.1337031523386638,0.0021931277351706527,0.5061043500900269,0.001571459779232465,0.31882397333780926,0.0011108476271033203,0.7151107986768087,0.0013943416358878108
cnn,0.1,0.9,3,0.7497497497497497,0.0,0.8000000000000002,1.1102230246251565e-16,0.2513624735846958,0.006178598337151011,0.2909576242909577,0.0029468671559318834,0.6977777777777777,0.0062853936105470775,0.6977777777777777,0.027932900199947843,0.2526643499340177,0.005826174033491893,0.2886366721064111,0.0030006081257141813,0.699642041893972,0.0031870911563087493,0.6964343397979724,0.027684129540011326,1.6306006113688152,0.002799665481542345,0.9961836139361063,0.0028600329162740685,0.11184705793857574,0.0008822819561932264,0.2028184880812963,0.003396815630686535
