model,repeat,t_value,noise_ratio_1_minus_t,clean_segment_acc,clean_song_acc,noisy_segment_acc,denoised_segment_acc,noisy_song_acc,denoised_song_acc,noisy_segment_macro_f1,denoised_segment_macro_f1,noisy_song_macro_f1,denoised_song_macro_f1,noisy_mse_to_clean,denoised_mse_to_clean,noisy_cosine_to_clean,denoised_cosine_to_clean
cnn,0,1.0,0.0,0.7497497497497497,0.8,0.7497497497497497,0.736403069736403,0.8,0.7866666666666666,0.7466858574012438,0.7327276622827836,0.7967254820784886,0.7830522737911176,0.0,0.6438510417938232,1.0,0.864500105381012
cnn,1,1.0,0.0,0.7497497497497497,0.8,0.7497497497497497,0.736403069736403,0.8,0.7866666666666666,0.7466858574012438,0.7327276622827836,0.7967254820784886,0.7830522737911176,0.0,0.6438510417938232,1.0,0.864500105381012
cnn,2,1.0,0.0,0.7497497497497497,0.8,0.7497497497497497,0.736403069736403,0.8,0.7866666666666666,0.7466858574012438,0.7327276622827836,0.7967254820784886,0.7830522737911176,0.0,0.6438510417938232,1.0,0.864500105381012
cnn,0,0.95,0.050000000000000044,0.7497497497497497,0.8,0.7487487487487487,0.7350684017350684,0.8,0.78,0.7456980067018935,0.7316860301220467,0.7967254820784886,0.7776396079819327,0.005044514779001474,0.5899415016174316,0.9986450672149658,0.8657410740852356
cnn,1,0.95,0.050000000000000044,0.7497497497497497,0.8,0.7497497497497497,0.7350684017350684,0.8,0.78,0.7466639714687184,0.7318120398844046,0.7967254820784886,0.7776396079819327,0.005048090126365423,0.5899950861930847,0.9986492991447449,0.8657106757164001
cnn,2,0.95,0.050000000000000044,0.7497497497497497,0.8,0.7477477477477478,0.7347347347347347,0.8,0.78,0.7446490450444654,0.7311571546963931,0.7967254820784886,0.7776396079819327,0.00503508048132062,0.5901747941970825,0.998650074005127,0.8657028675079346
cnn,0,0.85,0.15000000000000002,0.7497497497497497,0.8,0.7470804137470805,0.7400734067400734,0.8,0.7866666666666666,0.744082974374812,0.7374931217452588,0.7967254820784886,0.7847171138094385,0.0454292893409729,0.3544327914714813,0.9850905537605286,0.8659292459487915
cnn,1,0.85,0.15000000000000002,0.7497497497497497,0.8,0.7477477477477478,0.7374040707374041,0.8,0.7866666666666666,0.7445470556763712,0.73406045814568,0.7967254820784886,0.7847171138094385,0.045341067016124725,0.35422298312187195,0.9851614236831665,0.8659663796424866
cnn,2,0.85,0.15000000000000002,0.7497497497497497,0.8,0.7490824157490824,0.7390724057390724,0.8,0.7866666666666666,0.746216453666623,0.7359315216005494,0.7967254820784886,0.7847171138094385,0.04518502205610275,0.35500580072402954,0.9851809144020081,0.8658655285835266
cnn,0,0.7,0.30000000000000004,0.7497497497497497,0.8,0.7480814147480814,0.7374040707374041,0.7933333333333333,0.7666666666666667,0.7453419645012062,0.7342888368802819,0.7888169853464625,0.7621792058516196,0.18153956532478333,0.25992727279663086,0.9205065965652466,0.865289032459259
cnn,1,0.7,0.30000000000000004,0.7497497497497497,0.8,0.7480814147480814,0.7347347347347347,0.7933333333333333,0.7866666666666666,0.7450143981817937,0.7318112604136682,0.7888169853464625,0.7843289582998737,0.18077203631401062,0.25972822308540344,0.9209306240081787,0.8652760982513428
cnn,2,0.7,0.30000000000000004,0.7497497497497497,0.8,0.7467467467467468,0.7390724057390724,0.7933333333333333,0.7866666666666666,0.744253015342149,0.736434557135542,0.7896918049712822,0.7841578353052212,0.18144235014915466,0.2596970200538635,0.9205737113952637,0.8651509284973145
cnn,0,0.55,0.44999999999999996,0.7497497497497497,0.8,0.745412078745412,0.7377377377377378,0.8066666666666666,0.7866666666666666,0.7422086968385758,0.7349225743297872,0.8048570117313163,0.7837320978548158,0.4074321389198303,0.26248782873153687,0.7772080302238464,0.8622649312019348
cnn,1,0.55,0.44999999999999996,0.7497497497497497,0.8,0.7420754087420754,0.7367367367367368,0.7933333333333333,0.7733333333333333,0.7394887031083461,0.7339222177658576,0.7888169853464625,0.7699827739873379,0.4078497588634491,0.26321205496788025,0.7769587635993958,0.861807107925415
cnn,2,0.55,0.44999999999999996,0.7497497497497497,0.8,0.7437437437437437,0.7320653987320654,0.8,0.7866666666666666,0.7412585174548831,0.7287391397224077,0.7963650226454485,0.7843026659647578,0.40886327624320984,0.2629481554031372,0.7762812972068787,0.8620399236679077
cnn,0,0.4,0.6,0.7497497497497497,0.8,0.7270603937270604,0.726393059726393,0.8066666666666666,0.7933333333333333,0.7254150230190627,0.7239701383252647,0.8043609500587842,0.7889651177085255,0.7258082628250122,0.3022674024105072,0.5574883818626404,0.8409973978996277
cnn,1,0.4,0.6,0.7497497497497497,0.8,0.731398064731398,0.7283950617283951,0.7866666666666666,0.78,0.7284012295846478,0.7251299798196402,0.7854820201427543,0.7770602798148436,0.7268244028091431,0.3015892207622528,0.5569096803665161,0.8411083817481995
cnn,2,0.4,0.6,0.7497497497497497,0.8,0.7344010677344011,0.7310643977310644,0.7933333333333333,0.7866666666666666,0.7310204609377056,0.7274209719290041,0.789113464466471,0.7821269214220532,0.7260908484458923,0.30265188217163086,0.5576993227005005,0.8411192893981934
cnn,0,0.25,0.75,0.7497497497497497,0.8,0.6096096096096096,0.658324991658325,0.8,0.7466666666666667,0.6088593216642033,0.6545024768771663,0.7948120574489742,0.7463004699188694,1.1335792541503906,0.5043662190437317,0.3189329504966736,0.7165098786354065
cnn,1,0.25,0.75,0.7497497497497497,0.8,0.5979312645979312,0.661327994661328,0.7666666666666667,0.78,0.5984183442556689,0.6587564229605392,0.7660841638895032,0.7749271467207572,1.1364489793777466,0.5081727504730225,0.31741225719451904,0.7132078409194946
cnn,2,0.25,0.75,0.7497497497497497,0.8,0.6172839506172839,0.6606606606606606,0.7733333333333333,0.7666666666666667,0.6167763977865953,0.6584611726488391,0.7678655788347111,0.7640180169293072,1.131081223487854,0.5057740807533264,0.3201267123222351,0.7156146764755249
cnn,0,0.1,0.9,0.7497497497497497,0.8,0.24858191524858192,0.2879546212879546,0.6933333333333334,0.7066666666666667,0.24990703647165358,0.2852575571437378,0.6974755806746418,0.7063615083642497,1.6344248056411743,0.9971738457679749,0.11129433661699295,0.20090623199939728
cnn,1,0.1,0.9,0.7497497497497497,0.8,0.2599265932599266,0.29496162829496164,0.7066666666666667,0.7266666666666667,0.26076717000761657,0.29254921412164153,0.7041481600853123,0.7242686980688223,1.6278003454208374,0.9922922849655151,0.11309218406677246,0.20759102702140808
cnn,2,0.1,0.9,0.7497497497497497,0.8,0.2455789122455789,0.28995662328995664,0.6933333333333334,0.66,0.24731884332278295,0.2881032450538539,0.6973023849219622,0.6586728129608453,1.6295766830444336,0.9990847110748291,0.11115465313196182,0.1999582052230835
