embedding,num_samples,dim,classifier_acc_on_selected,silhouette_score,mean_intra_class_distance,mean_inter_class_centroid_distance,inter_over_intra,mse_to_full_clean_z,cosine_to_full_clean_z
full_clean_z,1000,128,0.759,0.31954601407051086,6.356440830230713,12.649366558922662,1.9900077569767203,0.0,1.0
full_noisy_z_t,1000,128,0.756,0.13431814312934875,6.317090272903442,6.957410457399156,1.1013631524694694,0.40856122970581055,0.7731356024742126
full_denoised_z_hat,1000,128,0.756,0.35315078496932983,4.798370027542115,11.349467213948568,2.365275530816481,0.14076150953769684,0.9293919205665588
