model_key,model,mean_noisy_to_clean_l2,mean_denoised_to_clean_l2,mean_denoise_movement_l2,denoised_distance_ratio
original_conformer,Original,7.186027526855469,3.213768482208252,6.474068641662598,0.44722461700439453
cnn,CNN,7.235739231109619,5.617429733276367,7.078483581542969,0.7763449549674988
resnet,ResNet,7.221320629119873,4.403141021728516,6.742123126983643,0.6097418069839478
lstm,LSTM,7.1984171867370605,5.569983005523682,7.020267963409424,0.7737788558006287
rnn,RNN,7.211887836456299,5.341456890106201,6.988312721252441,0.7406461238861084
mlp,MLP,7.220948219299316,3.9142205715179443,6.610937595367432,0.5420646071434021
transformer,Transformer,7.215244293212891,3.8185391426086426,6.487361431121826,0.5292321443557739
