embedding,num_samples,dim,classifier_acc_on_selected,silhouette_score,mean_intra_class_distance,mean_inter_class_centroid_distance,inter_over_intra,mse_to_full_clean_z,cosine_to_full_clean_z
full_clean_z,1000,128,0.776,0.3133615255355835,6.436836838722229,12.645600053999159,1.964567437522531,0.0,1.0
full_noisy_z_t,1000,128,0.771,0.13203690946102142,6.356079912185669,6.968244356579251,1.096311634348706,0.40796858072280884,0.7758738994598389
full_denoised_z_hat,1000,128,0.767,0.3521322011947632,4.874133348464966,11.228819232516818,2.3037570845395856,0.1323307752609253,0.9365907311439514
