embedding,num_samples,dim,classifier_acc_on_selected,silhouette_score,mean_intra_class_distance,mean_inter_class_centroid_distance,inter_over_intra,mse_to_full_clean_z,cosine_to_full_clean_z
full_clean_z,1000,128,0.802,0.33826953172683716,6.288792109489441,12.876212406158448,2.047485778187667,0.0,1.0
full_noisy_z_t,1000,128,0.797,0.14521056413650513,6.325678396224975,7.123483679029676,1.1261216952288964,0.40863823890686035,0.7762985825538635
full_denoised_z_hat,1000,128,0.794,0.4097314178943634,4.349852836132049,11.602847883436414,2.6674115931135343,0.1767856776714325,0.909332275390625
